Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,T:System.CodeDom.CodeTypeDeclarationCollection,,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,P:System.CodeDom.CodeNamespace.Types,,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,T:System.CodeDom.CodeTypeDeclaration,,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,25,8,P:System.CodeDom.CodeTypeDeclarationCollection.Item(System.Int32),,,,,var typeDeclaration = compilationUnit.Namespaces[0].Types[0];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,16,4,T:System.CodeDom.CodeCompileUnit,,,,,public static IReadOnlyCollection<string> GetImports(this CodeCompileUnit compilationUnit)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,18,8,P:System.CodeDom.CodeNamespaceImport.Namespace,,,,,return compilationUnit.Namespaces[0].Imports.Cast<CodeNamespaceImport>().Select(c => c.Namespace).Distinct()                                .ToArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,18,8,T:System.CodeDom.CodeNamespaceCollection,,,,,return compilationUnit.Namespaces[0].Imports.Cast<CodeNamespaceImport>().Select(c => c.Namespace).Distinct()                                .ToArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,18,8,P:System.CodeDom.CodeCompileUnit.Namespaces,,,,,return compilationUnit.Namespaces[0].Imports.Cast<CodeNamespaceImport>().Select(c => c.Namespace).Distinct()                                .ToArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,18,8,T:System.CodeDom.CodeNamespace,,,,,return compilationUnit.Namespaces[0].Imports.Cast<CodeNamespaceImport>().Select(c => c.Namespace).Distinct()                                .ToArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,18,8,P:System.CodeDom.CodeNamespaceCollection.Item(System.Int32),,,,,return compilationUnit.Namespaces[0].Imports.Cast<CodeNamespaceImport>().Select(c => c.Namespace).Distinct()                                .ToArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,18,8,T:System.CodeDom.CodeNamespaceImportCollection,,,,,return compilationUnit.Namespaces[0].Imports.Cast<CodeNamespaceImport>().Select(c => c.Namespace).Distinct()                                .ToArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,18,8,P:System.CodeDom.CodeNamespace.Imports,,,,,return compilationUnit.Namespaces[0].Imports.Cast<CodeNamespaceImport>().Select(c => c.Namespace).Distinct()                                .ToArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompiler.cs,2552,8,T:System.CodeDom.CodeTypeReference,,,,,return type is null ? null : _lazyProvider.Value.GetTypeOutput(new CodeTypeReference(type));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompiler.cs,2552,8,M:System.CodeDom.CodeTypeReference.#ctor(System.Type),,,,,return type is null ? null : _lazyProvider.Value.GetTypeOutput(new CodeTypeReference(type));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompiler.cs,2552,8,T:System.CodeDom.Compiler.CodeDomProvider,,,,,return type is null ? null : _lazyProvider.Value.GetTypeOutput(new CodeTypeReference(type));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompiler.cs,2552,8,M:System.CodeDom.Compiler.CodeDomProvider.GetTypeOutput(System.CodeDom.CodeTypeReference),,,,,return type is null ? null : _lazyProvider.Value.GetTypeOutput(new CodeTypeReference(type));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompiler.cs,2469,4,T:System.CodeDom.CodeLinePragma,,,,,private CodeLinePragma GenerateLinePragmaForNamespace(string namespaceName)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompiler.cs,2486,8,T:System.CodeDom.CodeLinePragma,,,,,"return new CodeLinePragma(_fileName, lineNumber);"
